"Timestamp", "close", "high", "low", "open", "volume"
1462386541,697.6465,697.9600,697.5000,697.5000,2100
1462386600,697.7050,697.8600,697.5300,697.7050,6700
1462386664,697.4500,697.9000,697.4500,697.7050,4800
1462386720,697.5500,697.5900,697.4500,697.4500,2300
1462386782,697.3500,697.4400,697.2700,697.4000,3500
1462386851,697.5400,697.5500,697.3100,697.5000,1600
1462386912,698.3700,698.4200,697.6400,697.8500,8200
1462387018,697.8900,698.3000,697.8900,698.1200,2400
1462387020,697.9450,698.1200,697.7801,698.0100,2700
1462387123,698.0000,698.3100,697.9250,698.1600,4700
1462387148,698.2200,698.2875,698.0000,698.0000,1100
1462387201,698.2299,698.5800,698.2200,698.5000,5100
1462387270,697.9600,698.2000,697.5100,698.2000,4100
1462387392,697.2475,697.7800,697.0000,697.4500,4000
1462387440,696.6900,697.0500,696.6900,697.0000,1800
1462387500,697.0499,697.0499,696.6900,696.6900,3200
1462387567,697.2900,697.2900,696.7400,697.1500,2700
1462387656,697.2500,697.2500,697.2500,697.2500,600
1462387723,697.5300,697.7300,697.2450,697.5600,1600
1462387745,697.2900,697.5200,697.2900,697.5200,1200
1462387803,697.8200,698.0000,697.6200,697.7700,3500
1462387863,697.6850,697.9400,697.6850,697.8700,2100
1462387922,697.3500,697.5896,697.1100,697.5896,2200
1462388003,697.9900,697.9900,697.3600,697.3600,2100
1462388052,697.8700,698.0699,697.8700,698.0699,1000
1462388102,697.4247,697.7600,697.4247,697.6700,1500
1462388216,697.8600,697.8600,697.8500,697.8500,1300
1462388224,697.9400,698.0400,697.5850,697.8600,3700
1462388304,697.9900,698.0800,697.5801,698.0000,7500
1462388355,698.0000,698.1000,698.0000,698.0900,2000
1462388448,697.8000,698.0600,697.8000,697.8600,5500
1462388460,697.5800,697.8800,697.5200,697.7840,6300
1462388521,697.5400,697.7500,697.5300,697.7025,800
1462388580,696.6300,697.6700,696.6200,697.5300,4500
1462388682,697.0100,697.0100,696.8800,696.8800,1000
1462388706,697.0000,697.2500,697.0000,697.2500,2200
1462388806,696.5174,696.5174,696.4000,696.4000,500
1462388822,696.6500,696.9400,696.6500,696.7200,3600
1462388892,696.6600,696.6600,696.6600,696.6600,200
1462388988,696.7100,696.7100,696.7100,696.7100,300
1462389014,696.7199,696.7199,696.3000,696.5400,2500
1462389062,696.4900,696.6900,696.3500,696.3500,1000
1462389138,696.5550,696.6900,696.5550,696.6800,1800
1462389188,696.8700,696.8700,696.8000,696.8000,800
1462389250,697.1700,697.3405,696.8464,696.8850,3100
1462389333,697.7040,697.7300,697.4200,697.5000,4800
1462389375,697.3400,697.4000,697.3400,697.4000,1200
1462389421,697.0275,697.0275,696.8500,696.9200,1500
1462389549,696.7800,696.9700,696.7400,696.9300,1200
1462389635,696.9300,697.0800,696.7840,696.7840,1000
1462389715,697.4000,697.4900,696.8800,696.9925,3600
1462389779,697.2200,697.6600,697.1300,697.6600,2400
1462389784,697.5600,697.5600,697.1650,697.2800,3000
1462389845,697.3500,697.7900,697.3500,697.5600,5000
1462389902,697.6200,697.6200,697.5800,697.6200,1200
1462389967,697.3200,697.6000,697.3200,697.3700,2800
1462390141,696.6800,697.1700,696.6646,697.1700,1300
1462390201,696.6800,696.8053,696.6800,696.8053,1600
1462390338,696.6500,696.7600,696.6500,696.7600,900
1462390380,696.7300,696.8100,696.4000,696.8100,4700
1462390463,696.5850,696.7300,696.3900,696.5600,3000
1462390507,697.1100,697.4942,696.6400,696.6400,6000
1462390576,697.0000,697.1275,696.9400,696.9600,2100
1462390628,696.9100,697.0300,696.6800,697.0300,4500
1462390680,696.9400,697.0200,696.8400,697.0000,2900
1462390753,697.2800,697.2800,696.9900,696.9900,1000
1462390801,697.2400,697.2400,697.0000,697.0100,3400
1462390864,697.5100,697.7200,697.5000,697.5700,4200
1462390942,697.5500,697.6700,697.2125,697.5100,4300
1462390981,697.3600,697.6000,697.3500,697.6000,3800
1462391053,697.2775,697.2800,697.2000,697.2500,1100
1462391108,697.3400,697.7200,697.3400,697.4700,5700
1462391172,697.3750,697.5200,697.3750,697.5200,900
1462391221,697.6800,697.9800,697.6100,697.6400,1300
1462391285,697.9500,698.0600,697.7000,697.9000,7200
1462391369,697.9200,697.9200,697.6500,697.6500,600
1462391400,697.1300,697.6400,697.1300,697.6400,7000
1462391519,696.9325,697.3000,696.9300,697.1000,6200
1462391520,696.9000,696.9500,696.8800,696.9350,2900
1462391581,697.0900,697.3200,696.9500,696.9500,5300
1462391655,696.9900,697.1500,696.7600,697.0500,3200
1462391701,696.6699,696.9450,696.5000,696.8000,10300
1462391760,696.2800,696.6700,696.2450,696.6700,7600
1462391822,696.3250,696.4600,696.2000,696.3100,10700
1462391881,696.1400,696.2100,696.0100,696.2000,10800
1462391940,695.7000,696.1699,695.5500,696.1000,45200
1462392000,695.7000,695.7000,695.7000,695.7000,123900
